0,1,2,3,4,5,6,7,8,9,10,11
2.968,3.004,0.299,0.255,3.025,3.06,3.088,3.099,1.613,1.568,0.084,0.396
2.994,3.032,0.278,0.24,3.038,3.086,3.098,3.106,1.603,1.538,0.102,0.359
3.006,3.032,0.262,0.241,3.047,3.081,3.103,3.101,1.581,1.561,0.102,0.347
3.028,3.032,0.254,0.239,3.055,3.093,3.108,3.114,1.576,1.541,0.11,0.333
3.031,3.03,0.242,0.231,3.075,3.096,3.112,3.129,1.53,1.567,0.095,0.316
3.041,3.019,0.229,0.224,3.091,3.089,3.112,3.135,1.525,1.567,0.078,0.301
3.048,3.0,0.219,0.221,3.095,3.075,3.106,3.108,1.507,1.594,0.051,0.287
3.047,2.966,0.216,0.226,3.103,3.066,3.111,3.103,1.485,1.617,0.017,0.288
3.047,2.958,0.216,0.23,3.103,3.057,3.112,3.099,1.465,1.641,0.009,0.288
3.063,2.965,0.206,0.218,3.103,3.058,3.112,3.105,1.483,1.618,0.007,0.262
3.064,2.934,0.2,0.216,3.107,3.059,3.112,3.105,1.465,1.636,0.027,0.258
3.057,2.926,0.199,0.214,3.107,3.054,3.112,3.099,1.465,1.641,0.045,0.256
3.065,2.918,0.191,0.218,3.107,3.045,3.112,3.094,1.482,1.63,0.053,0.248
3.059,2.916,0.19,0.209,3.12,3.04,3.117,3.078,1.46,1.651,0.062,0.246
3.05,2.923,0.19,0.207,3.12,3.036,3.116,3.083,1.46,1.651,0.071,0.239
3.041,2.914,0.192,0.21,3.132,3.022,3.114,3.073,1.438,1.679,0.08,0.248
3.04,2.911,0.193,0.204,3.127,3.022,3.103,3.073,1.461,1.661,0.09,0.243
3.033,2.876,0.196,0.207,3.139,3.01,3.113,3.068,1.438,1.684,0.125,0.25
3.018,2.778,0.218,0.216,3.137,3.002,3.127,3.069,1.446,1.692,0.202,0.285
2.947,2.556,0.269,0.228,3.121,2.993,3.125,3.064,1.482,1.68,0.433,0.348
2.913,2.513,0.292,0.234,3.111,2.984,3.115,3.059,1.509,1.667,0.485,0.372
2.876,2.141,0.334,0.224,3.086,2.975,3.124,3.055,1.494,1.713,0.865,0.401
2.731,1.499,0.4,0.223,3.037,2.98,3.097,3.055,1.543,1.713,1.583,0.471
2.41,1.12,0.413,0.179,2.988,2.99,3.066,3.065,1.515,1.785,2.307,0.446
1.244,0.948,0.423,0.16,2.933,3.005,3.061,3.075,1.542,1.795,2.624,0.432
0.184,0.825,0.443,0.119,2.883,3.017,3.072,3.074,1.581,1.795,1.423,0.413
0.204,0.802,0.456,0.105,2.878,3.02,3.063,3.073,1.59,1.791,1.422,0.416
0.106,0.818,0.431,0.095,2.842,3.03,3.05,3.078,1.609,1.806,1.311,0.387
0.043,0.769,0.417,0.034,2.798,3.04,3.015,3.077,1.635,1.82,1.13,0.318
0.05,0.671,0.388,0.023,2.754,3.021,2.96,3.04,1.692,1.822,0.995,0.274
0.092,0.605,0.364,0.025,2.662,3.032,2.871,3.007,1.827,1.767,0.951,0.253
0.076,0.534,0.367,0.017,2.604,3.032,2.805,2.979,1.895,1.765,0.866,0.256
0.078,0.536,0.372,0.017,2.609,3.021,2.809,2.954,1.868,1.793,0.87,0.256
0.108,0.561,0.379,0.007,2.534,3.017,2.713,2.938,1.977,1.759,0.917,0.248
0.134,0.584,0.386,0.008,2.502,2.969,2.647,2.887,1.986,1.838,0.981,0.263
0.123,0.542,0.401,0.006,2.436,2.914,2.558,2.822,2.029,1.914,0.939,0.274
0.114,0.573,0.388,0.002,2.318,2.851,2.407,2.754,2.173,1.942,0.933,0.246
0.101,0.613,0.387,0.019,2.216,2.782,2.296,2.698,2.293,1.978,0.925,0.211
0.114,0.602,0.387,0.02,2.223,2.769,2.296,2.695,2.321,1.955,0.926,0.21
0.12,0.597,0.388,0.011,2.136,2.721,2.204,2.639,2.395,2.012,0.933,0.215
0.129,0.593,0.377,0.002,2.043,2.653,2.115,2.571,2.487,2.062,0.919,0.196
0.135,0.613,0.4,0.007,1.913,2.605,1.984,2.524,2.617,2.098,0.948,0.2
0.139,0.583,0.401,0.008,1.846,2.55,1.92,2.465,2.631,2.199,0.916,0.194
0.165,0.601,0.372,0.006,1.782,2.447,1.831,2.379,2.713,2.273,0.923,0.157
0.142,0.626,0.383,0.002,1.767,2.403,1.808,2.335,2.752,2.299,0.949,0.181
0.14,0.635,0.384,0.014,1.698,2.351,1.742,2.278,2.83,2.338,0.965,0.19
0.148,0.644,0.376,0.011,1.634,2.333,1.678,2.276,2.888,2.35,0.959,0.168
0.163,0.648,0.384,0.005,1.568,2.3,1.617,2.237,2.969,2.371,0.982,0.172
0.18,0.641,0.375,0.014,1.55,2.338,1.608,2.287,3.014,2.296,0.983,0.162
0.174,0.626,0.375,0.005,1.567,2.364,1.629,2.319,2.994,2.27,0.951,0.15
0.176,0.617,0.375,0.003,1.571,2.364,1.637,2.319,2.992,2.27,0.937,0.143
0.162,0.599,0.382,0.003,1.623,2.422,1.678,2.377,2.925,2.229,0.915,0.154
0.164,0.594,0.375,0.016,1.658,2.472,1.711,2.421,2.898,2.186,0.906,0.148
0.154,0.573,0.382,0.019,1.704,2.505,1.759,2.459,2.851,2.147,0.873,0.146
0.145,0.575,0.39,0.011,1.802,2.572,1.837,2.526,2.774,2.081,0.903,0.183
0.12,0.623,0.399,0.003,1.966,2.684,1.966,2.636,2.643,1.97,0.977,0.235
0.102,0.637,0.397,0.007,2.0,2.699,2.005,2.657,2.598,1.968,0.969,0.231
0.161,0.728,0.387,0.011,2.102,2.748,2.102,2.714,2.507,1.91,1.13,0.241
0.257,0.796,0.359,0.055,2.21,2.803,2.217,2.772,2.37,1.887,1.312,0.259
0.41,0.93,0.375,0.089,2.329,2.837,2.335,2.822,2.246,1.853,1.644,0.303
1.649,1.219,0.396,0.115,2.45,2.86,2.471,2.858,2.134,1.835,3.048,0.366
2.515,1.667,0.369,0.151,2.573,2.889,2.625,2.893,2.023,1.794,1.727,0.374
2.673,1.914,0.367,0.163,2.6,2.891,2.654,2.897,1.966,1.824,1.31,0.386
2.836,2.292,0.326,0.181,2.724,2.899,2.824,2.927,1.871,1.78,0.8,0.356
2.842,2.484,0.324,0.213,2.799,2.909,2.92,2.966,1.76,1.808,0.568,0.389
2.899,2.631,0.303,0.234,2.862,2.916,3.029,2.997,1.616,1.874,0.373,0.38
2.953,2.735,0.281,0.235,2.888,2.957,3.085,3.035,1.585,1.847,0.228,0.368
3.003,2.835,0.258,0.237,2.911,2.986,3.1,3.067,1.606,1.782,0.09,0.355
2.982,2.832,0.254,0.232,2.914,2.992,3.07,3.077,1.602,1.786,0.115,0.354
3.025,2.907,0.239,0.245,2.951,2.987,3.085,3.089,1.579,1.77,0.007,0.345
3.065,2.968,0.227,0.248,2.952,2.986,3.04,3.099,1.585,1.748,0.071,0.321
3.092,3.004,0.21,0.257,2.992,2.994,3.025,3.109,1.536,1.755,0.132,0.319
3.126,3.035,0.193,0.267,3.032,2.992,3.055,3.109,1.492,1.753,0.183,0.305
3.139,3.037,0.18,0.28,3.077,3.0,3.088,3.108,1.48,1.715,0.199,0.307
3.112,3.037,0.184,0.28,3.082,3.007,3.089,3.103,1.481,1.713,0.188,0.322
3.116,3.056,0.179,0.283,3.11,2.996,3.088,3.092,1.444,1.723,0.2,0.311
3.12,3.065,0.139,0.279,3.14,2.997,3.102,3.098,1.396,1.736,0.207,0.262
3.138,3.057,0.137,0.276,3.136,3.005,3.105,3.103,1.414,1.697,0.172,0.253
3.136,3.049,0.133,0.267,3.14,3.005,3.093,3.097,1.433,1.679,0.139,0.237
3.109,3.056,0.149,0.256,3.131,3.01,3.094,3.096,1.42,1.697,0.119,0.238
